cancer cases total_mut
KIRC 339 29244
KIRP 288 26303
SARC 255 31392
KICH 66 3395
COAD 433 279629
READ 158 71684
DLBC 37 7782
PCPG 179 2624
THYM 123 5697
MESO 83 4144
STAD 441 219026
ESCA 184 49761
GBM 396 90322
LGG 513 38973
LUAD 569 223457
LUSC 497 195215
UCEC 542 931148
UCS 57 11019
ACC 92 12820
HNSC 510 109334
BRCA 1044 130603
LAML 149 11552
LIHC 375 58562
CHOL 51 6563
OV 443 81022
TGCT 150 3683
THCA 496 11128
BLCA 412 144675
CESC 305 113594
UVM 80 1950
PAAD 183 32980
PRAD 498 31596
SKCM 470 396154
