"" "ACVR1B" "ACVR2A" "AJUBA" "AKT1" "APC" "AR" "ARHGAP35" "ARID1A" "ARID5B" "ASXL1" "ATM" "ATR" "ATRX" "AXIN2" "B4GALT3" "BAP1" "BRAF" "BRCA1" "BRCA2" "CBFB" "CCND1" "CDH1" "CDK12" "CDKN1A" "CDKN1B" "CDKN2A" "CDKN2C" "CEBPA" "CHEK2" "CRIPAK" "CTCF" "CTNNB1" "DNMT3A" "EGFR" "EGR3" "EIF4A2" "ELF3" "EP300" "EPHA3" "EPHB6" "EPPK1" "ERBB4" "ERCC2" "EZH2" "FBXW7" "FGFR2" "FGFR3" "FLT3" "FOXA1" "FOXA2" "GATA3" "H3F3C" "HGF" "HIST1H1C" "HIST1H2BD" "IDH1" "IDH2" "KDM5C" "KDM6A" "KEAP1" "KIT" "KMT2B" "KMT2C" "KMT2D" "KRAS" "LIFR" "LRRK2" "MALAT1" "MAP2K4" "MAP3K1" "MAPK8IP1" "MECOM" "MTOR" "NAV3" "NCOR1" "NF1" "NFE2L2" "NFE2L3" "NOTCH1" "NPM1" "NRAS" "NSD1" "PBRM1" "PCBP1" "PDGFRA" "PHF6" "PIK3CA" "PIK3CG" "PIK3R1" "POLQ" "PPP2R1A" "PRX" "PTEN" "PTPN11" "RAD21" "RB1" "RPL22" "RPL5" "RUNX1" "SETBP1" "SETD2" "SF3B1" "SIN3A" "SMAD2" "SMAD4" "SMC1A" "SMC3" "SOX17" "SOX9" "SPOP" "STAG2" "STK11" "TAF1" "TBL1XR1" "TBX3" "TET2" "TGFBR2" "TLR4" "TP53" "TSHZ2" "TSHZ3" "U2AF1" "USP9X" "VEZF1" "VHL" "WT1"
"KIRC" 9.65891185610205 4.89868252964004 4.47793179127387 0.8422272 0.7809325274256 1.18954845602755 20.6500503199388 56.0488310948635 0.00342638043596806 0.00720335706716377 39.9587081056391 2.427629465989 10.0544752772892 1.5636897329838 2.49026029811178 1054.16916722537 0.122211922316583 0.0282774731344706 4.17290504073943 8.51886582865203 4.24531338914552 0.132252234872937 12.6285053080595 1.22578981065395 0.34741872 0.32285376 1.68714544827073 0.68957352 0.0020028157541653 1.89393693730478 0.059553783369302 0.100101722137622 12.0969741516901 0.782702676681483 0.77555088 7.31673622826866 0.187137143367877 3.34536063720252 0.304584747619006 0.812084823195052 1.76776820600997 90.4620060608157 2.08254914150703 2.08968649457884 2.49549127709384 4.34065263245735 0.233950036051702 0.907772709874464 0.82819008 1.73609141675579 0.0626580788051408 2.45848733295913 0.0602315957547837 0.37373832 2.06264583966322 0.103033220747542 0.0539766515696516 149.997715821331 0.143666282899886 0.748212513522324 1.71428328 0.122477292519971 12.0317935197117 1.85385998508614 1.34706334068509 0.467560349730478 9.72325687473185 1415.89153266817 0.7194024 0.0453816082707292 2.46169430518332 1.52952748321913 94.2130334088139 3.47819940241798 4.71845603191287 3.24183703252838 14.6118661235323 1.21772016 0.513253589112083 11.9623175053923 1.34706334068509 8.30914986651609 7489.83081543585 0.225543626374951 13.0228523724997 8.69320328094614 5.21472040645792 2.20827717763314 2.35496886765931 0.0452830075557942 1.03348296 0.804925080514524 252.958850677154 0.00215571810633587 1.10717784 1.15552282037214 14.0345150434213 0.440042140435968 0.8422272 3.49524256223266 478.856384680546 1.28090302563782 0.0244421903832915 1.70093701661227 0.00102047556065673 0.0123518205660422 11.0819509650654 0.72642096 4.97023805380224 0.65623536 34.6097530703844 0.852233839663217 2.1599007329854 4.88098473343452 2.20713935518889 0.629640877770761 1.03874688 4.34065263245735 125.706742972795 0.774894746020641 34.618086464374 0.4211136 1.36322958117462 1.25044462307008 70764.2207735397 4.74208545843935
"KIRP" 0.0222014503239374 21.6888111644089 1.56014844592468 0.7575264 0.058780294907346 1.4519256 0.788401148216724 29.9578662310225 5.20907992326746 0.958491587295374 0.00650187414978577 0.00740642964093612 2.18561863331067 1.33040574 0.62022474 191.663755836185 5.83649154246582 0.354533438444754 0.478017621172212 0.29511966 0.4655631 1.85768213751908 0.0179059115631581 1.51268813998419 0.31247964 1.73408774498299 2.0368085435528 3.06949988500631 4.50900391585877 0.70386828 0.0189204679736861 11.5155701996181 14.4514560677712 0.531175502363734 0.69755556 17.552050286904 3.4172167260579 22.1698660504354 1.35274620650237 3.53292004605667 2.06160212093925 1.64435438853218 6.53923328414463 0.0326756199958759 0.700731013871965 0.0793269687447793 25.5640258873325 0.205240779271772 0.0873613053323513 2.20492008727317 2.40919194699883 0.2130543 0.0193014177429531 1.31099404421066 0.236727 0.183901019992439 0.115198605568296 0.0866820384535123 57.75735895713 4.12384128630101 0.190439979751146 1.21830018507826 41.8246383303038 7.7277508708739 9.70867354374328 0.874264015669801 1.0150043455114 388.284450784339 17.3745185023169 5.47290537421119 0.0132832837930658 0.467944234674895 2.20340964183076 7.28385193008237 12.3599488408484 0.515354812140653 67.7894169541264 7.70370148476933 0.264254419362751 26.9478642667684 9.70867354374328 0.71585866126384 38.4928367996257 3.68139705749292 0.326890799171337 0.5760357 0.0586845658309731 0.31414644983382 20.6496274413913 0.00193992147044268 10.1422144511544 0.0405362654123745 135.319352429217 0.00354914341184223 0.99583158 1.46455104 16.0032971336522 0.602191793322794 0.0776124062434787 0.810276842829788 70.7044155858241 23.4175662926583 7.92817961123905 0.0938436424344107 5.20226323494896 0.57101479399175 0.00327869351477342 0.183901019992439 1.78279289698915 0.284467349403395 24.4782173525761 1.17118321997913 0.34315270510825 1.74224508806903 2.84791956634163 1.07211979402685 0.00462256506228009 1.32409302 46.6637010450568 6.9519851943924 3.08460696293239 0.3787632 1.04811063863591 0.0340562357056353 64.7071949452664 0.82380996
"SARC" 24.0341708707231 0.00117915003112418 1.01333376 0.9040896 1.26534389074515 0.309926257702138 3.57399677826204 0.112605006192196 1.38807063657868 0.370844341538002 6.77324896174712 0.194199538055732 346.291478548455 1.58780736 14.3553207273676 0.286231918606127 0.177895099833912 1.83035679097981 0.0297817892260975 0.35221824 0.355370024020226 0.0690688535417991 0.0539569003974876 7.09861027486801 0.37293696 38.513596296171 1.47667439027361 0.0911669454604751 7.37548608338166 0.84004992 0.0996090387427327 0.190213904051046 6.27152103731268 0.238818414110758 0.0336941863483409 13.638173144608 0.129839367671069 0.464443562972163 14.3165262283747 0.444449444976484 2.23738655408498 11.7291064796307 1.4314752 1.42959168 0.0825974788768978 1.58027328 0.146133137193424 0.404998833399765 0.0138537050126413 11.2192258407246 1.61935341230601 0.2542752 1.93478423826058 0.893775812046792 0.282528 1.90944712624122 0.85135104 1.44663781996742 1.16112328744524 0.578655127986966 36.1821467458308 0.695753347039546 0.040222525762928 0.225204180543413 60.5836081749692 0.385584406971928 8.18166545527581 1105.14982238389 13.491104822867 2.84788224 0.085906811541444 9.31550078807449 4.80109248 29.4799236050346 0.119588182605177 34.857851955602 0.649749957593168 0.072178483870269 0.00731364976484051 0.55375488 1.16509019579877 1.86568628362903 2.28860144649066 0.67053312 1.7236750909295 2.50579525573662 12.3703265371651 0.00275638695450708 15.7630467218436 0.256946690935855 0.714967671076175 0.205404729817842 73.258662569647 3.12829303426081 0.554084822605177 456.649572699407 0.24109056 10.647915412302 0.9040896 0.292266274386848 1.67010679783199 0.0847015802637016 0.151285344739749 0.016479277014918 0.886955424680918 2.32238016 0.728497602601452 0.062194741560306 1.13097752743392 2.38273411728307 0.807010638458964 0.0149800484766112 0.0529482968069029 1.09980888378184 1.83052865983001 7.25161980521643 3.18647536326639 3.70510434719364 10052.0322217103 8.43223071200658 0.456332540697225 0.4520448 4.850064 5.49433889311207e-05 0.40118976 4.13700483803391
"KICH" 0.1112202 7.67405008228484 0.1095906 0.097776 0.5827857 0.187404 0.3053463 0.4654545 12.7712217512193 0.3316236 3.04813569072268 0.394311502687878 0.478183527343286 0.1717191 0.0800541 0.1484973 0.1643859 0.3837708 0.6962466 0.0380919 0.0600915 0.1796634 0.2837541 95.2156895073157 0.0403326 0.0374808 0.0342216 0.0800541 6.35828467468477 0.0908502 0.1480899 4.44485175750592 0.1857744 0.756432671522334 0.0900354 0.0829059 0.0755727 0.4917318 3.19431661873054 0.2081814 0.00178471755753284 1.91391670171396 0.154812 0.1546083 0.1440159 0.1709043 0.1652007 0.2022741 0.0961464 0.0943131 0.0904428 0.0274995 0.1482936 0.0433881 0.030555 0.0843318 0.0920724 0.317772 1.60027381773816 0.1271088 0.1990149 0.361214990575369 0.955779758568834 0.666084174018809 0.0384993 2.62997766763419 0.5147499 0.0116109 0.083517 0.3079944 0.1448307 2.21160426363881 4.22292712881463 0.4858245 0.5141388 0.307497736742559 0.1232385 0.1413678 0.44185473949594 0.0598878 24.0129975376303 0.5491752 1.18434623074517 0.0725172 0.2269218 0.0743505 0.2175516 0.2244774 4.92811438965763 0.5277867 0.1199793 0.2976057 294.941091632008 0.1216089 0.1285347 17.3492929401385 0.0260736 0.0604989 0.097776 1.35702295789897 0.432617864584808 0.2656248 0.2593101 8.6072909983129 0.1124424 0.2511621 0.2479029 0.0843318 0.1036833 0.0761838 0.2582916 0.12222 0.97893752150667 0.1047018 0.1513491 0.859945345510552 0.1205904 0.1709043 6001.99150648033 0.2106258 14.3855287172512 0.048888 4.15043843889262 0.1073499 21.091182310855 0.1063314
"COAD" 47.4069919931289 53.1732669560787 1.79607018001695 5.99211983042102 1496.28616145703 45.717379044783 9.98924425375618 15.8659965418822 0.0435752709889815 1.18359003043865 23.5208705056851 0.0437663129340145 6.28462401471061 33.7749598997011 0.299957482952036 0.255863419487942 0.884375149197324 2.92122982156974 0.557388042849876 2.61176997687879 0.222993285140117 3.50516290947549 9.15633005223233 0.031209938707493 3.32199252 103.939426965979 0.0116665634766882 1.95860105385263 0.399831908355957 4.06778316725215 7.87794940695651 47.3036952953132 4.94516196098833 1.5472788113113 21.354931407208 38.2975139365548 9.71280436875124 0.154134682362636 30.7161534808241 12.8662729890435 26.7253714604256 103.359361155848 1.41582496334505 9.96645634624684 164.238563950109 5.65682459768511 17.4143188797362 0.107729617126899 0.465068270712573 0.00692326479514086 56.6938706993397 26.4152046863443 32.0510766000033 24.8641298066407 28.596239457329 0.607398466610514 2.57203578633924 0.665419960511145 2.55035865324529 0.0210378387764178 31.181855321648 27.5861352422015 0.489399353910347 8.8873583789725 280.596553269493 22.0128601581077 36.9921706319834 0.0019940433607868 53.1507793780923 1.25039966989009 8.50245707023542 1.84506611712159 2.44877312476487 62.439456656258 6.54879403236816 0.00284307079443752 0.0710893423129696 0.0108996615350692 0.877412389223951 3.35383052645154 24.5826372116685 0.0335987230821751 0.028301788839886 4.23112478999816 49.1520563016223 0.00250577292146439 123.706790242155 32.4941022914187 46.8393586801492 1.30394531000392 1.71595220374654 1.23959144552697 101.608906327918 2.47967128687117 6.68596905786832 1.89391017290959 15.9489423257824 1.82668617239108 14.8795750736977 26.3662167491264 0.18791853803702 4.68281253717976 7.48282138022699 46.8768083513721 170.511824238999 0.899232014669936 0.0985463420171813 7.16372713648964 532.896796634457 0.47428151278115 0.243105502472326 0.000441201927474541 0.713473104326875 15.0072472405952 16.9455767839714 75.657586099781 6.55286424308617 0.26283196746198 2780.68657975383 32.2459380716446 126.312244497425 4.0266576 1.7913895501248 0.0028280694435534 3.28509701139285 97.6361775165894
"READ" 9.21392355294146 27.5284425873749 2.31395952 2.0644992 1325.1180568823 0.274943390098734 3.2149245293073 0.339964810065881 6.7903852577034 1.28353700916667 21.6163983525884 5.10133349235966 8.04860063849593 3.14012241307952 1.01477986157939 0.00585206760041271 3.5881554129195 0.545870949470702 8.68436279623411 0.0476201832921574 1.2688068 1.28339101533198 0.673417648212878 0.0258579731092597 0.85160592 1.84578063207899 0.106514639735913 1.69030872 0.953523709992674 0.439568563129223 2.64001788820193 17.3805343762249 1.10025531614342 0.0942421021627215 0.635261396381676 0.891843080100002 3.62272223959605 0.0367000746609962 7.88020172138692 0.585553911861843 14.7520524176704 39.8090271804554 1.57471396120478 0.922654923756042 221.609581220096 15.1398367893107 3.48814344 7.68502199649883 0.000446019962995152 0.493545464958172 13.5686559475361 70.9702212834521 15.0682321908288 0.00767976655226961 0.195168710104223 0.0270257920351056 0.573532820355533 3.30578113465547 3.02883393680493 0.174245796638676 10.9971321377192 0.613844567869726 0.916539671599049 8.0812777813181 213.925984798435 26.1772632484324 11.4001577410869 2.32414009606374 10.1782279477142 0.347450034821981 0.0011015477928282 0.0833449504538738 5.78426785236591 41.9411385390037 0.067469433678028 1.17595304186057 15.73048362606 7.61672632577123e-05 7.35315235697164 0.0553285712776647 63.5437008827542 0.219561796811329 0.318819062287375 13.0425989887719 26.2208810626949 0.117845698801462 39.1277969663157 5.83792271481247 38.0564580388179 3.07724472993364 0.0859732707651966 2.92037496776354 22.8423133656308 7.65079193404697 6.76877940840894 4.02597936245748 0.366954264653386 10.848276431821 1.81456275052111 1.31055978478628 1.40167183412812 0.461340289026177 33.4086003945826 12.4038606677217 215.623615334114 0.0915591525732387 0.595576377835693 0.342229368008776 35.459820103402 0.230251811646079 0.0377468453082301 0.968127177526055 0.0904447515722704 1.44814799239326 1.01875167409265 17.8261370117654 0.938955386952083 0.536519714816252 3093.33519441875 9.65494527140391 50.6815820626211 1.0322496 0.000510306171512539 0.237268874384632 0.00767976655226961 3.38029165948436
"DLBC" 0.25493832 0.23952996 0.25120296 0.2241216 0.0844406116795804 29.6764274207875 0.69991308 8.06346018211137 21.3990714474785 0.0756829275032431 0.127723785934319 2.52014551964381 0.0228707062285346 0.39361356 0.18349956 0.34038468 1.03070098113418 5.11070200306662 0.222525453123253 9.5402258512047 0.1377414 0.840048506547936 0.187888697613266 0.09245016 0.09245016 0.08591328 0.07844256 0.18349956 10.6520729689616 0.20824632 1.28538551495912 0.36466452 0.774180281990438 0.9852012 0.20637864 17.2386311200519 0.17322732 3.11192142443145 14.0675790825407 0.47719224 0.0639694220857487 18.0317373032205 0.3548592 1.1761241755142 0.33011244 0.944421098945506 0.37867212 0.46365156 2.75787460587983 2.84187404357512 15.5018576033809 13.9274379681132 0.33991776 1673.37819560086 122.571708521717 0.19330488 0.21104784 0.7283952 0.133588076571712 0.29135808 0.45618084 0.0565255564255174 0.194864362459867 79.9962436994341 41.4151157888948 0.441418049950924 1.17990684 0.02661444 0.1914372 0.70598304 0.33198012 0.5789808 0.0303887734857904 0.705544675799211 1.17850608 0.343119530856329 0.2824866 1.41005762221222 1.1929806 0.13727448 0.08824788 1.25881632 0.0447572204240368 0.16622352 0.52014888 0.1704258 0.49867056 0.458007281647259 0.33805008 0.0363796500251948 0.27501588 0.68217012 11.1418244526061 0.27875124 0.29462652 0.43330176 0.05976576 0.13867524 0.2241216 0.75734424 1.20091824 3.17847873734748 3.3239869877935 0.21805164 0.25773984 0.57571236 0.56824164 3.36648002177604 0.23766228 3.90108398560235 0.281088084207634 1.84964284782547 0.88387956 31.7404843863376 1.22941753401787 27.4467630073477 0.27641664 6.60244675578203 126.423608255629 0.554066565005106 0.485956531744014 0.1120608 0.529223091177134 0.24606684 0.09945396 2.34659528347755
"PCPG" 0.08596224 0.08076672 0.08470272 0.0755712 0.67050784847961 102.607905952351 0.23600256 36.8350310390208 77.7308234507766 2.15780250197799 0.559548294535393 16.0207563633339 0.942012833761607 0.13272192 0.06187392 0.11477376 5.99771828850082 24.6387794580581 0.396417227273307 31.9953558054554 0.0464448 5.3402521211113 2.77898801638203 0.03117312 0.03117312 0.02896896 0.02644992 0.06187392 38.722196765236 0.07021824 6.85122093812952 0.12296064 5.10808749081158 0.3321984 0.06958848 58.4879209916478 0.05841024 18.0605216953527 52.3080027329618 0.16090368 1.76748907324363 67.5467203332858 0.1196544 6.48791068366293 0.11131008 5.70256416984525 0.12768384 0.15633792 11.5311464602122 11.7913094419442 53.2917593623438 45.0703360019271 0.11461632 5013.58657109543 375.12117697561 0.06518016 0.07116288 0.2456064 2.50012729785102 0.09824256 0.15381888 0.766906696228421 6.25645491601474 297.259891193489 130.455703594078 3.87207117512122 0.39785088 0.00897408 0.0645504 0.23804928 0.11193984 0.1952256 0.893125472616776 7.02811664949293 0.39737856 5.3960753882637 0.0952512 7.26146223069188 0.4022592 0.04628736 0.02975616 0.42445824 1.93599174215696 0.05604864 0.17538816 0.0574656 0.16814592 3.93722484756821 0.11398656 0.85934580351222 0.09273216 0.23001984 40.1991994418067 0.09399168 0.09934464 0.14610432 0.02015232 0.04675968 0.0755712 0.25536768 0.40493568 15.6888171473011 16.1583976047138 0.07352448 0.08690688 0.19412352 0.19160448 13.4072719867154 0.08013696 15.0418398227277 3.20880270253956 8.6805073604336 0.29803392 105.296165689847 6.6655997453838 102.530248119443 0.09320448 26.413980199381 394.109330425099 4.30556473588024 4.04588738214631 0.0377856 6.27201152040414 0.08297088 0.03353472 10.2500496115329
"THYM" 3.54472227977366 18.9863973530715 0.18389916 4.25889933674253 0.97794702 0.3144744 0.51238818 0.0613722026855216 0.40608216 3.74448382888555 1.04460192 0.0100930418580563 11.6424257107999 0.28815426 0.13433526 0.24918678 1.90102389940076 0.64398888 0.591999453547591 0.06392034 0.1008369 0.30148524 0.47615526 0.06768036 0.06768036 13.9624402801979 0.05742576 0.13433526 3.11230920596714 0.15245172 2.27259716150814 2.01282102772909 1.51954285933818 0.7212402 0.15108444 0.13912074 0.12681522 5.73221527897587 0.33600906 0.34934004 1.75046022 0.629770742369471 2.10914682320581 0.25944138 0.24166674 1.7736956255738 1.88451115395366 0.33942726 0.16133904 4.47687249506785 0.15176808 0.0461457 0.24884496 0.07280766 0.051273 5.20797810231019 0.15450264 0.5332392 0.50896998 2.90162316980195 1.32834540063093 0.9280413 0.987183738452288 0.638109296300891 13.5435264860128 1.00491078308199 0.86377914 201.318876977643 5.27555194057663 0.451697153251598 0.24303402 0.783144181964852 0.0190105780527332 0.0418722948161077 0.86275368 16.7322828591513 0.2068011 0.23722308 0.0183662853762884 0.10049508 239.727364076205 1.26207543459409 9.77705681582915 0.12168792 1.00692424268978 6.13987759763402 0.36506376 0.37668564 184.245131448211 1.40208380006394 3.16825278413653 0.501805832892825 16.5129741091418 0.20406654 0.21568842 0.31720896 20.8993494727845 0.10152054 0.1640736 0.55443204 0.0166090779612818 5.41970982489698 29.2051774398764 0.15962994 0.18868464 0.42146406 0.41599494 0.14151348 0.17398638 0.12784068 0.740617313341023 0.205092 0.192504432549613 0.17569548 2.19141015183905 16.0650737190123 3.14410803735881 0.28678698 111.239326756648 1.18276137094431 7.19472982013475 0.0820368 5.1052922020302 3.73140356815259 11.8076262216733 0.17843004
"MESO" 0.13575744 5.96747244062188 5.6093798848309 0.1193472 0.71135904 0.2287488 1.05575273550302 0.328264510231519 9.83706452834688 6.28655255852339 0.0759037293583186 8.33776205863613 0.233926279293064 2.98051576422185 8.33150437974306 3129.96221411873 3.1843935232206 0.46843776 0.84985152 0.04649568 11.7068370097594 0.21930048 0.34635552 0.04923072 0.04923072 0.04574976 21.9815276026132 0.09771552 0.14818944 0.11089344 3.71291949441406 3.34384087697698 13.8665799513992 0.5246304 7.20917268515616 0.10119648 0.09224544 0.266281177845494 2.33584650950053 0.25411008 0.0586552939111544 8.26092765615722 0.1889664 3.4876361023966 3.86444339071997 0.20860896 16.0382883316351 0.24689952 0.11735808 0.11512032 0.11039616 0.0335664 0.18100992 16.9350214555823 0.037296 0.10293696 0.11238528 0.966005978127578 1.07128541794427 0.15515136 2.35948117956911 2.60047789006117 0.0460931324180257 1.38144384 19.3267761445451 1.88429998733545 2.99456420501626 629.047702250372 0.1019424 0.37594368 3.83343426627148 9.28211689638394 0.63378336 0.5930064 18.1228384971095 0.122542366790779 0.1504272 0.17255616 0.6352752 0.07310016 0.04699296 0.67033344 15.3059463718288 9.38592882280624 0.27698496 0.0907536 2.03135184760208 0.27400128 0.18001536 0.64422624 0.14644896 0.36326304 56.9850763568597 0.14843808 4.53070962427737 2.56465927978343 0.03182592 0.07384608 29.6350057156585 0.40329408 109.300544370902 1.40848961358821 0.31651872 0.11611488 0.13724928 0.30657312 0.30259488 0.10293696 0.12655776 0.09299136 9.00259104643225 0.149184 0.47067552 0.12780096 3.59776646734727 0.506707860359152 4.94090944398483 0.20860896 1977.92033202964 0.25709376 0.26877984 0.0596736 2.88782706311304 0.13103328 0.05296032 5.83453916405943
