gene type
VHL transcrip_facreg
GATA3 transcrip_facreg
TSHZ3 transcrip_facreg
EP300 transcrip_facreg
CTCF transcrip_facreg
TAF1 transcrip_facreg
TSHZ2 transcrip_facreg
RUNX1 transcrip_facreg
MECOM transcrip_facreg
TBX3 transcrip_facreg
SIN3A transcrip_facreg
WT1 transcrip_facreg
EIF4A2 transcrip_facreg
FOXA1 transcrip_facreg
PHF6 transcrip_facreg
CBFB transcrip_facreg
SOX9 transcrip_facreg
ELF3 transcrip_facreg
VEZF1 transcrip_facreg
CEBPA transcrip_facreg
FOXA2 transcrip_facreg
KMT2C hist_mod
KMT2D hist_mod
ARID1A hist_mod
PBRM1 hist_mod
SETD2 hist_mod
NSD1 hist_mod
SETBP1 hist_mod
KDM5C hist_mod
KDM6A hist_mod
KMT2B hist_mod
ARID5B hist_mod
ASXL1 hist_mod
EZH2 hist_mod
TP53 gen_int
ATM gen_int
ATRX gen_int
BRCA2 gen_int
ATR gen_int
STAG2 gen_int
BAP1 gen_int
BRCA1 gen_int
SMC1A gen_int
SMC3 gen_int
CHEK2 gen_int
RAD21 gen_int
ERCC2 gen_int
EGFR rtk
FLT3 rtk
EPHA3 rtk
ERBB4 rtk
PDGFRA rtk
EPHB6 rtk
FGFR2 rtk
KIT rtk
FGFR3 rtk
CDKN2A cycle
RB1 cycle
CDK12 cycle
CDKN1B cycle
CCND1 cycle
CDKN1A cycle
CDKN2C cycle
KRAS mapk
NF1 mapk
MAP3K1 mapk
BRAF mapk
NRAS mapk
MAP2K4 mapk
MAPK8IP1 mapk
PIK3CA pi3k
PTEN pi3k
PIK3R1 pi3k
TLR4 pi3k
PIK3CG pi3k
AKT1 pi3k
SMAD4 tgfb
TGFBR2 tgfb
ACVR1B tgfb
SMAD2 tgfb
ACVR2A tgfb
APC wnt
CTNNB1 wnt
AXIN2 wnt
TBL1XR1 wnt
SOX17 wnt
HIST1H1C histone
H3F3C histone
HIST1H2BD histone
FBXW7 proly
KEAP1 proly
SPOP proly
SF3B1 spli
U2AF1 spli
PCBP1 spli
CDH1 hippo
AJUBA hippo
DNMT3A meth
TET2 meth
IDH1 metabo
IDH2 metabo
NFE2L2 nfe
NFE2L3 nfe
PPP2R1A phos
PTPN11 phos
RPL22 ribo
RPL5 ribo
MTOR tor
STK11 tor
NAV3 other
NOTCH1 other
LRRK2 other
MALAT1 other
ARHGAP35 other
POLQ other
NCOR1 other
USP9X other
NPM1 other
HGF other
EPPK1 other
AR other
LIFR other
PRX other
CRIPAK other
EGR3 other
B4GALT3 other
