gene cds_size
ACVR1B 1638
ACVR2A 1539
AJUBA 1614
AKT1 1440
APC 8583
AR 2760
ARHGAP35 4497
ARID1A 6855
ARID5B 3564
ASXL1 4884
ATM 9168
ATR 7938
ATRX 7473
AXIN2 2529
B4GALT3 1179
BAP1 2187
BRAF 2421
BRCA1 5652
BRCA2 10254
CBFB 561
CCND1 885
CDH1 2646
CDK12 4179
CDKN1A 594
CDKN1B 594
CDKN2A 552
CDKN2C 504
CEBPA 1179
CHEK2 1788
CRIPAK 1338
CTCF 2181
CTNNB1 2343
DNMT3A 2736
EGFR 6330
EGR3 1326
EIF4A2 1221
ELF3 1113
EP300 7242
EPHA3 2949
EPHB6 3066
EPPK1 15363
ERBB4 4047
ERCC2 2280
EZH2 2277
FBXW7 2121
FGFR2 2517
FGFR3 2433
FLT3 2979
FOXA1 1416
FOXA2 1389
GATA3 1332
H3F3C 405
HGF 2184
HIST1H1C 639
HIST1H2BD 450
IDH1 1242
IDH2 1356
KDM5C 4680
KDM6A 4467
KEAP1 1872
KIT 2931
KMT2B 8145
KMT2C 14949
KMT2D 16668
KRAS 567
LIFR 3345
LRRK2 7581
MALAT1 171
MAP2K4 1230
MAP3K1 4536
MAPK8IP1 2133
MECOM 3720
MTOR 7647
NAV3 7155
NCOR1 7572
NF1 8517
NFE2L2 1815
NFE2L3 2082
NOTCH1 7665
NPM1 882
NRAS 567
NSD1 8088
PBRM1 5202
PCBP1 1068
PDGFRA 3342
PHF6 1095
PIK3CA 3204
PIK3CG 3306
PIK3R1 2172
POLQ 7773
PPP2R1A 1767
PRX 4383
PTEN 1728
PTPN11 1791
RAD21 1893
RB1 2784
RPL22 384
RPL5 891
RUNX1 1440
SETBP1 4866
SETD2 7716
SF3B1 3912
SIN3A 3819
SMAD2 1401
SMAD4 1656
SMC1A 3699
SMC3 3651
SOX17 1242
SOX9 1527
SPOP 1122
STAG2 3804
STK11 1800
TAF1 5679
TBL1XR1 1542
TBX3 2229
TET2 6006
TGFBR2 1776
TLR4 2517
TP53 1179
TSHZ2 3102
TSHZ3 3243
U2AF1 720
USP9X 7725
VEZF1 1581
VHL 639
WT1 1566
